original_path,final_path,problem_id,extension,original_version,final_version,sha256,operation,reason,status
abc302.cpp,ABC302.cpp,ABC302,.cpp,,main,f1e8231e6ae8b462ccc5d10d685569b10bd24ce1aac1dd8696e261e698bb91e2,keep,Main version (already correct),done
ATabc308.cpp,ATABC308.cpp,ATABC308,.cpp,,main,a91291dc25d2a855ad8cad476c92f21b199223eaa4663626082031fe86ea3437,keep,Main version (already correct),done
B1649.cpp,B1649.cpp,B1649,.cpp,,main,1c64a7264710932699163c08625b7d9af6292d749e27c2f077b529e4524b4ffa,keep,Main version (already correct),done
B3367.cpp,B3367.cpp,B3367,.cpp,,main,cd0ebd512d41f7cd3420b76f38d2127d476dbac40d659fa1e6af6c2b4fc68a04,keep,Main version (already correct),done
B3367(2).cpp,B3367_v2.cpp,B3367,.cpp,2,v2,9523a5f51a5788105ba81b95c63fe3d2c3f2dc34663df206ca033680acc6a44a,rename,Standard rename,done
B3609_3.cpp,B3609.cpp,B3609,.cpp,3,main,f104b5ec7505db5e65a2c4142c5791b9e28bb2030917bfab82b6579baae5ad05,rename_to_main,Promoted to main (was version 3),done
B3611.cpp,B3611.cpp,B3611,.cpp,,main,5cdf763cf2c51ea6666bd44cbc65b8c97626bde4d0df51fe81b7afb347b95ef5,keep,Main version (already correct),done
B3624.cpp,B3624.cpp,B3624,.cpp,,main,c7f3e4d708326cceaa9f85cd8584e3244853405a391cca043a82ed3eb647c81d,keep,Main version (already correct),done
B3626.cpp,B3626.cpp,B3626,.cpp,,main,96992925151f50467d6d9de37bdf49918710b971ddd0dae3d218796ab72c6787,keep,Main version (already correct),done
B3629.c,B3629.c,B3629,.c,,main,9d9ac456839f8c6240bead2b5650481da2778d1de9424ce3f4ab4d7219b70aae,keep,Main version (already correct),done
B3637.c,B3637.c,B3637,.c,,main,6f254566b8fd80dddb7b6b1907e570c997bd4d093ac75d0b719e1ea912750f6a,keep,Main version (already correct),done
B3644.cpp,B3644.cpp,B3644,.cpp,,main,875c607266c89e5e4d9d64f6c6fd88ad3ab33e011f88015c65afb4b144216a29,keep,Main version (already correct),done
B3647.cpp,B3647.cpp,B3647,.cpp,,main,3b7c98881bc2c8a09964120ec347d654a898dc301d4910a5295433d6958ea7e9,keep,Main version (already correct),done
B3666.cpp,B3666.cpp,B3666,.cpp,,main,43749edd518509e336ab17f8c84239cb263446f1e9f7602cdbab173ad9a6abb0,keep,Main version (already correct),done
B3666(2).cpp,B3666_v2.cpp,B3666,.cpp,2,v2,168378ac10cc36882d101b7b8ea783420e3c810aca08faf840227f2ba518b27e,rename,Standard rename,done
B3737.c,B3737.c,B3737,.c,,main,ecce63ec6a65a9e8d829e50ec73a818f44ced0ae036761e42555b6364437c02a,keep,Main version (already correct),done
B3828.c,B3828.c,B3828,.c,,main,fb4b6312499acafca097cbf3f2f496261b8799be7dcac1191e29840468124bac,keep,Main version (already correct),done
B3874.c,B3874.c,B3874,.c,,main,5cccf87ea61bbf97bf28dc3e58099a4b081bf2f883bb86042699dbf3887cd231,keep,Main version (already correct),done
B3874.cpp,B3874.cpp,B3874,.cpp,,main,74729631d828e736510741aa8552b659fe9eeb9145d4b49c829dec546596bd57,keep,Main version (already correct),done
B3883(2).c,B3883.c,B3883,.c,2,main,9e9d28e2ee68941d960d6739741fb32074fa00a9871392e9b84ee0c4ae76a2aa,rename_to_main,Promoted to main (was version 2),done
B3883.cpp,B3883.cpp,B3883,.cpp,,main,90e9d7ff247368dce4f79d0e1c9b3241032352a96e5cce1f211cbb90778d61cd,keep,Main version (already correct),done
B3903.cpp,B3903.cpp,B3903,.cpp,,main,a9c607e1f6579d68cf2b6ee0eed529b8d960f8c3bfea43810646d7668eaa7247,keep,Main version (already correct),done
B3929.c,B3929.c,B3929,.c,,main,afa24c04a899372f160a9300badfe854ce5c8ea507f441a5d3fc82bdcf557314,keep,Main version (already correct),done
B3929(2).c,B3929_v2.c,B3929,.c,2,v2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,rename,Standard rename,done
B3930.c,B3930.c,B3930,.c,,main,20af7e000adbd4acb61b963794741ef2cc4646f09f75ea35836081f29acc4663,keep,Main version (already correct),done
B3959.c,B3959.c,B3959,.c,,main,9e5c05f4cac80a0c33e5aa90bf586062d311d80a9bf3a622797f58cec9030073,keep,Main version (already correct),done
B3999.c,B3999.c,B3999,.c,,main,738a2e5d428169f4be4950a1eba2bdd09c31e6b0f83d16c6de3083d769023e11,keep,Main version (already correct),done
B4016.cpp,B4016.cpp,B4016,.cpp,,main,22bfa8d6f96ace6f4f656c0de21a641b4f1e55a8991050e4ce0e839e3fbea9aa,keep,Main version (already correct),done
B4156.cpp,B4156.cpp,B4156,.cpp,,main,0a252b1ba2e18890a285dab94117bc53db7e3fededf21fedcc990c7e2a8df694,keep,Main version (already correct),done
hdu1521.cpp,HDU1521.cpp,HDU1521,.cpp,,main,2ac5679dbbd4e174c3a2a72f245557585d62de2e9c326363c7bf27887446a561,keep,Main version (already correct),done
hdu1823.cpp,HDU1823.cpp,HDU1823,.cpp,,main,7d5b93862922911fc003ba901085c39b724a32eb2c59167f91ea257089853eaf,keep,Main version (already correct),done
hdu2063.cpp,HDU2063.cpp,HDU2063,.cpp,,main,ce80204c3990e798c87171b9ac9e05860d3fd66cdcd3dd85d9f90c1918a94893,keep,Main version (already correct),done
hdu3549.cpp,HDU3549.cpp,HDU3549,.cpp,,main,6cbe6bd716c43dbab7bf43ba0b2b26d1ddec2f525d0a8f70aeaad1a34ca09425,keep,Main version (already correct),done
LOJ101.cpp,LOJ101.cpp,LOJ101,.cpp,,main,429d19023ac1fddb53ebab08082b6ed91bc51f09d93a3bd4be5890e63764118c,keep,Main version (already correct),done
LOJ115.cpp,LOJ115.cpp,LOJ115,.cpp,,main,898ea5828ee894622fe8120103bd9c4681d0cbc4c82a1889067512b984c1f059,keep,Main version (already correct),done
LOJ116.cpp,LOJ116.cpp,LOJ116,.cpp,,main,20c43f61954484aa4a6420f485b8368b6284a77d19db57f65d559a4e6f83b976,keep,Main version (already correct),done
LOJ117.cpp,LOJ117.cpp,LOJ117,.cpp,,main,8bd9228c31cba0ab7fc6fc946a6c4a38b1caa710c63a4361dd551d9e781a778b,keep,Main version (already correct),done
P225.c,P225.c,P225,.c,,main,fc2c2e8f00042717d42b62cafb35c0cb639ddbae7f434d3281f7e8be0cd7c97b,keep,Main version (already correct),done
P1002.c,P1002.c,P1002,.c,,main,6c95183206b0ab71e5b70d9ca79d652459fbba60f57e7e2a7e3598d91077aafc,keep,Main version (already correct),done
P1002(2).c,P1002_v2.c,P1002,.c,2,v2,6615eb89435a1c623586a1504847d001f3a1221e364319d8676beb6a77b4a60c,rename,Standard rename,done
P1002(3).c,P1002_v3.c,P1002,.c,3,v3,75f8e40f2fdb14ee3da0c5c382141a514994659df0765731641415bf8bb0edbf,rename,Standard rename,done
P1004.c,P1004.c,P1004,.c,,main,a775a2563b2203e1953c6ab2e996c7e85f0a8a0dc8782a9581a816d8f0af4033,keep,Main version (already correct),done
P1004(2).c,P1004_v2.c,P1004,.c,2,v2,35e0789ee2071e1d9f1d38277b1b1566166cd24ddd684b4ed471f309d4f72d24,rename,Standard rename,done
P1004(3).c,P1004_v3.c,P1004,.c,3,v3,775d9530c3323ddb97a382c95fdae5a98b54b563d6ca5de3dc4e679fd8e1ac8c,rename,Standard rename,done
P1005.c,P1005.c,P1005,.c,,main,1574a6b714422272fa198b26a7d3c2984ff7bb7e1d50049248502b1b942d1865,keep,Main version (already correct),done
P1005.cpp,P1005.cpp,P1005,.cpp,,main,2cd84115068c4094cdd0892aa47b764c95bc21edd5935a1851de2210edcf786b,keep,Main version (already correct),done
P1006.c,P1006.c,P1006,.c,,main,52962d35af8d388738c8da24f352031997d56ec8e45b8eed36193a128c22c57c,keep,Main version (already correct),done
