current_path,proposed_path,problem_id,language,current_version,proposed_version,target_exists,conflict_type,safe_to_rename,note
B3367(2).cpp,B3367_v2.cpp,B3367,cpp,2,v2,no,special_chars_in_name,yes,
B3609_3.cpp,B3609_v3.cpp,B3609,cpp,3,v3,no,main_version_missing,yes,主版本 B3609.cpp 不存在
B3666(2).cpp,B3666_v2.cpp,B3666,cpp,2,v2,no,special_chars_in_name,yes,
B3883(2).c,B3883_v2.c,B3883,c,2,v2,no,main_version_missing,yes,主版本 B3883.c 不存在
B3929(2).c,B3929_v2.c,B3929,c,2,v2,no,special_chars_in_name,yes,
P1002(2).c,P1002_v2.c,P1002,c,2,v2,no,special_chars_in_name,yes,
P1002(3).c,P1002_v3.c,P1002,c,3,v3,no,special_chars_in_name,yes,
P1004(2).c,P1004_v2.c,P1004,c,2,v2,no,special_chars_in_name,yes,
P1004(3).c,P1004_v3.c,P1004,c,3,v3,no,special_chars_in_name,yes,
P1006(2).c,P1006_v2.c,P1006,c,2,v2,no,special_chars_in_name,yes,
P1016(2).cpp,P1016_v2.cpp,P1016,cpp,2,v2,no,special_chars_in_name,yes,
P1020(2).c,P1020_v2.c,P1020,c,2,v2,no,special_chars_in_name,yes,
P1063(3).c,P1063_v3.c,P1063,c,3,v3,no,main_version_missing,yes,主版本 P1063.c 不存在
P1090(2).c,P1090_v2.c,P1090,c,2,v2,no,special_chars_in_name,yes,
P1102(2).cpp,P1102_v2.cpp,P1102,cpp,2,v2,no,special_chars_in_name,yes,
P1103(2).c,P1103_v2.c,P1103,c,2,v2,no,special_chars_in_name,yes,
P1111(2).cpp,P1111_v2.cpp,P1111,cpp,2,v2,no,special_chars_in_name,yes,
P1118(2).cpp,P1118_v2.cpp,P1118,cpp,2,v2,no,special_chars_in_name,yes,
P1120(2).cpp,P1120_v2.cpp,P1120,cpp,2,v2,no,special_chars_in_name,yes,
P1130(2).c,P1130_v2.c,P1130,c,2,v2,no,special_chars_in_name,yes,
P1130(3).c,P1130_v3.c,P1130,c,3,v3,no,special_chars_in_name,yes,
P1133(2).c,P1133_v2.c,P1133,c,2,v2,no,special_chars_in_name,yes,
P1190(2).c,P1190_v2.c,P1190,c,2,v2,no,special_chars_in_name,yes,
P1203(2).c,P1203_v2.c,P1203,c,2,v2,no,special_chars_in_name,yes,
P1203(3).c,P1203_v3.c,P1203,c,3,v3,no,special_chars_in_name,yes,
P1209(2).c,P1209_v2.c,P1209,c,2,v2,no,special_chars_in_name,yes,
P1230(2).c,P1230_v2.c,P1230,c,2,v2,no,special_chars_in_name,yes,
P1276(2).cpp,P1276_v2.cpp,P1276,cpp,2,v2,no,special_chars_in_name,yes,
P1277_2.cpp,P1277_v2.cpp,P1277,cpp,2,v2,no,,yes,
P1281(2).c,P1281_v2.c,P1281,c,2,v2,no,special_chars_in_name,yes,
P1284(2).c,P1284_v2.c,P1284,c,2,v2,no,special_chars_in_name,yes,
P1288(2).c,P1288_v2.c,P1288,c,2,v2,no,special_chars_in_name,yes,
