current_path,proposed_path,current_category,proposed_category,proposed_subcategory,file_kind,reason,confidence,actual_problem_url,possible_problem_id,has_main,sha256,filename,size_bytes,lines,first_comment_lines,url_count,problem_id_count,function_names,filename_keywords
templates/01分数规划/01分数规划——模板.cpp,templates/数学/01分数规划/01分数规划——模板.cpp,01分数规划,数学,01分数规划,runnable_template,关键词命中: 01分数规划->数学 (via filename) | 含 main | 代码内 URL×2 | 判定: runnable_template,high,https://www.luogu.com.cn/problem/P10505,,true,9d98fd4227c6ebe87f1ff5565cf089fee77504be65f851cf53aee6c22a4e1f45,01分数规划——模板.cpp,1917,69,10,2,0,"MAXN,sml,node,cmp,check,main","01分数规划,模板,cpp,01分数规划——模板"
templates/01分数规划/01分数规划——模板4.cpp,templates/数学/01分数规划/01分数规划——模板4.cpp,01分数规划,数学,01分数规划,runnable_template,关键词命中: 01分数规划->数学 (via filename) | 含 main | 代码内 URL×1 | 判定: runnable_template,high,https://www.luogu.com.cn/problem/P3199,,true,a5ab38f7c2205eb9bcc5bc68c2d5415eb0804c576494e6ff105473c3c347d82e,01分数规划——模板4.cpp,2726,98,10,1,0,"MAXN,MAXM,MAXE,sml,addEdge,dfs,check,main","01分数规划,模板4,cpp,01分数规划——模板4"
templates/01分数规划/01分数规划——模板5.cpp,templates/数学/01分数规划/01分数规划——模板5.cpp,01分数规划,数学,01分数规划,runnable_template,关键词命中: 01分数规划->数学 (via filename) | 含 main | 代码内 URL×1 | 判定: runnable_template,high,https://www.luogu.com.cn/problem/P4322,,true,bc5e24a1d3905d7bf8f5b11e3f335359378e7f0e710bc034e6f00ade30fe6718,01分数规划——模板5.cpp,3544,108,11,1,0,"MAXN,LIMIT,NA,sml,addEdge,dfs,check,main","01分数规划,模板5,cpp,01分数规划——模板5"
templates/01分数规划/01分数规划——结合最小生成树.cpp,templates/数学/01分数规划/01分数规划——结合最小生成树.cpp,01分数规划,数学,01分数规划,runnable_template,关键词命中: 01分数规划->数学 (via filename) | 含 main | 代码内 URL×1 | 判定: runnable_template,high,http://poj.org/problem?id=2728,,true,24e58ba499d9c99f47e464e2846f466c824bc105b82f60947078b4990e8a6fda,01分数规划——结合最小生成树.cpp,3452,94,12,1,0,"MAXN,sml,prim,main","01分数规划,结合最小生成树,cpp,01分数规划——结合最小生成树"
templates/01分数规划/01分数规划——部分参数有限制.cpp,templates/数学/01分数规划/01分数规划——部分参数有限制.cpp,01分数规划,数学,01分数规划,example,关键词命中: 01分数规划->数学 (via filename) | 含 main | 代码内 URL×1 | 判定: example,high,https://www.luogu.com.cn/problem/P4377,,true,fe96b777ffeba0f690968006ed96ac428850915b8962f871a332a296e5e60b01,01分数规划——部分参数有限制.cpp,2382,81,11,1,0,"MAXN,MAXW,NA,sml,check,main","01分数规划,部分参数有限制,cpp,01分数规划——部分参数有限制"
templates/AC自动机/AC自动机——01分数规划.cpp,templates/字符串/AC自动机/AC自动机——01分数规划.cpp,AC自动机,字符串,AC自动机,runnable_template,关键词命中: AC自动机->字符串 (via filename) | 含 main | 代码内 URL×1 | 判定: runnable_template,high,https://www.luogu.com.cn/problem/P5319,,true,90ab0d1de99581d31299937bf2b5c38ecc33082cedb1c639320abe6aa473c340,AC自动机——01分数规划.cpp,3671,159,3,1,0,"eps,INF,MAXN,insert,setfail,check,compute,main","AC自动机,01分数规划,cpp,AC自动机——01分数规划"
templates/AC自动机/AC自动机——fail树.cpp,templates/字符串/AC自动机/AC自动机——fail树.cpp,AC自动机,字符串,AC自动机,runnable_template,关键词命中: AC自动机->字符串 (via filename) | 含 main | 代码内 URL×1 | 判定: runnable_template,high,https://www.luogu.com.cn/problem/P2414,,true,21fba1d34f88d77c4a64ff94d2cca38ae2b93cbcd17c640297d359fff5b4c662,AC自动机——fail树.cpp,4981,188,16,1,0,"MAXN,setfail,addedge,dfs,lowbit,add,query,main","AC自动机,fail树,cpp,AC自动机——fail树"
templates/AC自动机/AC自动机——fail树上差分.cpp,templates/字符串/AC自动机/AC自动机——fail树上差分.cpp,AC自动机,字符串,AC自动机,runnable_template,关键词命中: AC自动机->字符串 (via filename) | 含 main | 代码内 URL×1 | 判定: runnable_template,high,https://www.luogu.com.cn/problem/solution/P5840,,true,0de2c7bf6a385e1811efe7eedd0015adc951e9e1c7f65bd8424d41a044b8c4b2,AC自动机——fail树上差分.cpp,4337,181,8,1,0,"MAXM,MAXN,LIMIT,addedge,insert,setfail,dfs,lca","AC自动机,fail树上差分,cpp,AC自动机——fail树上差分"
templates/AC自动机/AC自动机——出现统计.cpp,templates/字符串/AC自动机/AC自动机——出现统计.cpp,AC自动机,字符串,AC自动机,runnable_template,关键词命中: AC自动机->字符串 (via filename) | 含 main | 代码内 URL×1 | 判定: runnable_template,high,https://www.luogu.com.cn/problem/P8451,,true,189c4f83f2385d01dc0772a205b98f9d40b94329c47c6bba21e9c2ee2603c9dc,AC自动机——出现统计.cpp,4029,180,9,1,0,"MAXN,MAXM,insert,setfail,addedge,addEdge,dfs,lowbit","AC自动机,出现统计,cpp,AC自动机——出现统计"
templates/AC自动机/AC自动机——完备状态.cpp,templates/字符串/AC自动机/AC自动机——完备状态.cpp,AC自动机,字符串,AC自动机,runnable_template,关键词命中: AC自动机->字符串 (via filename) | 含 main | 代码内 URL×1 | 判定: runnable_template,high,https://www.luogu.com.cn/problem/P2444,,true,f04f3b525e625e60a088fcdf27f78ff4c7223cfc7bee2658b2e859d507394a04,AC自动机——完备状态.cpp,2756,129,5,1,0,"MAXN,addedge,insert,setfail,main","AC自动机,完备状态,cpp,AC自动机——完备状态"
